Handle,Title,Body (HTML),Vendor,Product Category,Type,Tags,Published,Option1 Name,Option1 Value,Option2 Name,Option2 Value,Option3 Name,Option3 Value,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Requires Shipping,Variant Taxable,Image Src,Image Position,Image Alt Text,SEO Title,SEO Description,Status
the-alchemist,The Alchemist,"<p><em>Turn effort into outcome. Worn on the left wrist to receive.</em></p><p>Natural honey citrine set against brassy pyrite and a gold-filled accent. Two stones long associated with abundance, traditionally worn for prosperity, optimism and the drive to act on opportunity.</p><p><strong>Stones:</strong> Citrine, Pyrite.<br><strong>Intention:</strong> Abundance & Wealth.<br><strong>Affirmation:</strong> “I am open to receiving. Abundance moves toward me.”</p><p>Natural, undyed stone on 8&nbsp;mm beads and 1&nbsp;mm premium stretch cord. Includes meaning card, care card and linen pouch. Cleansed on selenite before it ships.</p>",Crystal Basket,Apparel & Accessories > Jewelry > Bracelets,Crystal bracelet,"Abundance, Confidence, Citrine, Pyrite, unisex, gold accent, bestseller",TRUE,Wrist size,S · 16 cm,,,,,CB-ALCHEMIST-S,20,shopify,5,continue,manual,105,TRUE,TRUE,https://crystalbasket.store/images/products/the-alchemist/main.jpg?v=38da2bef,1,The Alchemist — Abundance Bracelet · Citrine & Pyrite,The Alchemist · Abundance Bracelet · Citrine & Pyrite,Turn effort into outcome. Worn on the left wrist to receive.,active
the-alchemist,,,,,,,,Wrist size,M · 18 cm,,,,,CB-ALCHEMIST-M,20,shopify,5,continue,manual,105,TRUE,TRUE,,,,,,
the-alchemist,,,,,,,,Wrist size,L · 20 cm,,,,,CB-ALCHEMIST-L,20,shopify,5,continue,manual,105,TRUE,TRUE,,,,,,
the-anchor,The Anchor,"<p><em>For people who live in their heads.</em></p><p>Translucent smoky quartz and heavy hematite in matte eight-millimetre beads. Traditionally worn to feel heavier, slower and more here. Styled with men's wrists in mind, and just as good on anyone who wants a low-key piece.</p><p><strong>Stones:</strong> Smoky Quartz, Hematite.<br><strong>Intention:</strong> Grounding & Stability.<br><strong>Affirmation:</strong> “I am here. My feet are on the ground.”</p><p>Natural, undyed stone on 8&nbsp;mm beads and 1&nbsp;mm premium stretch cord. Includes meaning card, care card and linen pouch. Cleansed on selenite before it ships.</p>",Crystal Basket,Apparel & Accessories > Jewelry > Bracelets,Crystal bracelet,"Grounding, Protection, Smoky Quartz, Hematite, men",TRUE,Wrist size,S · 16 cm,,,,,CB-ANCHOR-S,20,shopify,5,continue,manual,75,TRUE,TRUE,https://crystalbasket.store/images/products/the-anchor/main.jpg?v=4aeebb33,1,The Anchor — Grounding Bracelet · Smoky Quartz & Hematite,The Anchor · Grounding Bracelet · Smoky Quartz & Hematite,For people who live in their heads.,active
the-anchor,,,,,,,,Wrist size,M · 18 cm,,,,,CB-ANCHOR-M,20,shopify,5,continue,manual,75,TRUE,TRUE,,,,,,
the-anchor,,,,,,,,Wrist size,L · 20 cm,,,,,CB-ANCHOR-L,20,shopify,5,continue,manual,75,TRUE,TRUE,,,,,,
the-aurora,The Aurora,"<p><em>Grey until it catches the light. Then everything.</em></p><p>Hand-selected high-flash labradorite, every bead showing blue and gold fire, with a single gold-filled bead. Traditionally worn for transformation, intuition and protection of the aura.</p><p><strong>Stones:</strong> Labradorite.<br><strong>Intention:</strong> Focus & Clarity.<br><strong>Affirmation:</strong> “I am becoming who I am meant to be.”</p><p>Natural, undyed stone on 8&nbsp;mm beads and 1&nbsp;mm premium stretch cord. Includes meaning card, care card and linen pouch. Cleansed on selenite before it ships.</p>",Crystal Basket,Apparel & Accessories > Jewelry > Bracelets,Crystal bracelet,"Focus, Protection, Sleep, Calm, Labradorite, unisex, gold accent",TRUE,Wrist size,S · 16 cm,,,,,CB-AURORA-S,20,shopify,0,deny,manual,80,TRUE,TRUE,https://crystalbasket.store/images/products/the-aurora/main.jpg?v=5c12f2e6,1,The Aurora — Focus & Clarity Bracelet · Labradorite,The Aurora · Focus & Clarity Bracelet · Labradorite,Grey until it catches the light. Then everything.,active
the-aurora,,,,,,,,Wrist size,M · 18 cm,,,,,CB-AURORA-M,20,shopify,0,deny,manual,80,TRUE,TRUE,,,,,,
the-aurora,,,,,,,,Wrist size,L · 20 cm,,,,,CB-AURORA-L,20,shopify,0,deny,manual,80,TRUE,TRUE,,,,,,
the-blush,The Blush,"<p><em>Plain rose quartz, nothing added. The gentlest thing on the wrist.</em></p><p>Eight-millimetre rose quartz in a soft milky blush, strung without any metal. The stone of the heart, traditionally worn for tenderness, self-worth and easy affection. Real stock from the studio, and once these are gone we will not restring them.</p><p><strong>Stones:</strong> Rose Quartz.<br><strong>Intention:</strong> Love & Self-Love.<br><strong>Affirmation:</strong> “I let kindness in.”</p><p>Natural, undyed stone on 8&nbsp;mm beads and 1&nbsp;mm premium stretch cord. Includes meaning card, care card and linen pouch. Cleansed on selenite before it ships.</p>",Crystal Basket,Apparel & Accessories > Jewelry > Bracelets,Crystal bracelet,"Love, Calm, Rose Quartz, women, leaving soon",TRUE,Wrist size,S · 16 cm,,,,,CB-BLUSH-S,20,shopify,5,continue,manual,65,TRUE,TRUE,https://crystalbasket.store/images/products/the-blush/main.jpg?v=0893ffae,1,The Blush — Love Bracelet · Rose Quartz,The Blush · Love Bracelet · Rose Quartz,"Plain rose quartz, nothing added. The gentlest thing on the wrist.",active
